"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",""
"AA.P","Alcoa Inc.","86.05","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",""
"AAMC","Altisource Asset Management Corp","197.85","436571259.45","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",""
"AAU","Almaden Minerals, Ltd.","0.77","56324207.17","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",""
"ACU","Acme United Corporation.","18.2","60394006.4","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",""
"ACY","AeroCentury Corp.","9.98","15401704.86","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",""
"ADGE","American DG Energy Inc.","0.7599","38503865.5152","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",""
"ADK","Adcare Health Systems Inc","4","77400000","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",""
"ADK.PA","Adcare Health Systems Inc","26.28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",""
"AE","Adams Resources & Energy, Inc.","46.76","197214788.96","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",""
"AIII","ACRE Realty Investors, Inc.","1.5399","30877314.0894","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",""
"AINC","Ashford Inc.","97.28","193280865.28","n/a","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",""
"AIRI","Air Industries Group","10.5418","79690747.6418","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",""
"AKG","Asanko Gold Inc.","1.52","299205322.64","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",""
"ALN","American Lorain Corporation","1.35","47137563.9","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",""
"ALTV","Alteva (D/B/A)","7.38","44213351.22","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",""
"AMCO","Armco Metals Holdings, Inc.","1.08","6563395.44","n/a","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",""
"AMPE","Ampio Pharmaceuticals, Inc.","2.4","124733438.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",""
"AMS","American Shared Hospital Services","2.58","13831380","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",""
"AMZG","American Eagle Energy Corporation.","0.1927","5867467.1878","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/amzg",""
"APP","American Apparel Inc","0.6433","113463007.5964","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/app",""
"APT","Alpha Pro Tech, Ltd.","2.42","44091078.68","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",""
"APTS","Preferred Apartment Communities, Inc.","10.91","239633709.63","n/a","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/apts",""
"ASB.WS","Associated Banc-Corp","2.73","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb/ws",""
"ASM","Avino Silver","1.26","44969897.7","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",""
"AST","Asterias Biotherapeutics, Inc.","10.97","354575652.94","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",""
"ATL","Atlatsa Resources Corporation","0.129","71503213.017","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl",""
